Business Development Bank of Canada,,https://www.bdc.ca/en/bdc-capital/venture-capital/pages/venture-capital.aspx?ref=hp-rt#.UK0INIbuu24,1-877-232-2269,
Eldercare Trust Fund,,,803-734-9903,khightower@aging.sc.gov
FedDev Ontario,,http://www.feddevontario.gc.ca/eic/site/723.nsf/eng/h_00098.html,1-866-593-5505,
!mpact Alamance,,,,
1 Arcus Foundation,,,,
1 Lilly Endowment,,,,
1772 Foundation Inc,22-2578377,,,
2 Carnegie Corporation of New York,13-1628151,http://www.carnegie.org/,212-371-3200,
2 Ford Foundation,,https://www.fordfoundation.org/work/challenging-inequality/creativity-and-free-expression/,,
2 Foundation to Promote Open Society,26-3753801,,,
2 Kellogg,,,,
2 Open Society Foundation,,,,
2 PARK FOUNDATION INC,16-6071043,,,
3 El-Hibri,,http://www.elhibrifoundation.org/,,
3 EVELYN & WALTER HAAS JR                                           ,94-6068932,,,
3 Gill Foundation,,,,
4 MacArthur Foundation,,,,
4 NATHAN CUMMINGS FOUNDATION INC,23-7093201,,,
4/5 Hilton Foundation,,,,
A Lindsay and Olive B O'Connor Foundation,16-6063485,http://theoconnorfoundation.org/,(607) 538-9248,office@theoconnorfoundation.org
Abe and Anna Bograd Memorial Trust,43-6509121,,,
Aberdeen Proving Ground,,,,scholarshipsmosc@gmail.com
Abraham Foundation,30-0139596,,,
ACA Implementation Fund,,http://www.communitycatalyst.org/,(617) 338-6035,acafund@communitycatalyst.org
ACHELIS FOUNDATION,13-6022018,http://www.achelisbodman.org/index.html,212-644-0322,main@achelis-bodman-fnds.org
AD3 Innovation Bootcamp,,https://vimeo.com/192742383,,innovationbootcamp2017@gmail.com
Adobe,,,,
Albertsons - Safeway,,,,
Albertsons Stores Charitable Foundation,20-0051735,,,
Aldersgate United Methodist Church,,http://www.aldersgateumc.org,(334) 272-6152,office@aldersgateumc.org
Alexander Worth McAlister Foundation Inc,56-6095754,,,
Allegheny County Economic Development,,,,
Allegheny County Environmental Fund,,,412-578-8390,Joy.Smallwood@AlleghenyCounty.US
Allegra C Ford-Thomas Foundation,26-3930880,,,
Allen B Cutting Foundation,38-3319000,,,
Allene Reuss Memorial Trust,,,,
American Democracy Alliance,26-0623149,,,
American Federation of Labor and Congress of Industrial Organizations,,,,
American Spouses Club,,,,americanspousesclub@yahoo.com
Amherst Lions Club,,,,
Andersen Officers' Spouses,,,,charity@andersenosc.com
Andrade-Faxon Charities for Children,,,,
Andrews OSC,,,,ascpresident1415@gmail.com
Ansbach Spouses & Civilian Club,,,,asccgermany@gmail.com
